Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Main language at work,Company size,Company type,Totalcomp
26,Male,Munich,Software Engineer,5,3,Senior,TypeScript,English,51-100,Product,85000
26,Male,Berlin,Backend Developer,7,4,Senior,Ruby,English,101-1000,Product,80000
29,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,English,101-1000,Product,240000
28,Male,Berlin,Frontend Developer,4,1,Junior,Javascript,English,51-100,Startup,54000
37,Male,Berlin,Backend Developer,17,6,Senior,C# .NET,English,101-1000,Product,62000
32,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s",English,11-50,Startup,81000
37,Male,Berlin,Frontend Developer,6,0.4,Middle,Javascript,English,11-50,Product,57000
24,Male,Berlin,Frontend Developer,5,1,Senior,Typescript,English,1000+,Product,65000
29,Male,Berlin,Backend Developer,8,2,Senior,PHP,English,101-1000,Product,56000
35,Male,Berlin,Software Engineer,15,3,Lead,Java,English,101-1000,Product,95000
32,Female,Hamburg,Data Engineer,2,2,Junior,Aws Hadoop Postgre Typescript,German,101-1000,Consulting / Agency,52500
34,Male,Berlin,Software Engineer,14,5,Senior,Typescript,English,11-50,Startup,70000
31,Male,Wolfsburg,Backend Developer,5,1,Senior,Kotlin,English,101-1000,Consulting / Agency,77000
29,Male,Hamburg,Backend Developer,7,3,Middle,Ruby,English,1000+,Product,60350
27,Male,Berlin,Backend Developer,8,3,Senior,PHP,English,1000+,Product,60000
34,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,English,101-1000,Product,160000
34,Male,Berlin,Software Architect,15,9,Lead,NodeJS,English,1000+,Product,100000
25,Male,Berlin,Software Engineer,5,2,Senior,Javascript,German,1000+,Product,65000
59,Male,Berlin,Backend Developer,30,30,Senior,Java,German,101-1000,Product,69000
36,Male,Berlin,Software Engineer,17,2,Lead,PHP,English,101-1000,Product,70000
38,Male,Berlin,Team Lead,18,4,Lead,iOS,English,101-1000,Product,84000
24,Male,Berlin,DevOps,6,3,Senior,Kubernetes,English,101-1000,Product,85000
37,Male,Berlin,Test manager,6,6,Middle,Charles,German,1000+,Media,48400
40,Male,Berlin,Product Manager,13,1,Senior,SQL,English,101-1000,Product,70000
29,Male,Berlin,Software Engineer,6,4,Lead,Go,English,101-1000,Product,90000
31,Male,Berlin,Backend Developer,5,1,Middle,java,English,101-1000,Startup,65000
39,Male,Berlin,Software Engineer,8,5,Senior,Java,English,51-100,Startup,80000
27,Male,Berlin,Software Engineer,8,1,Middle,Javascript,English,101-1000,Product,63101
33,Male,Berlin,Data Scientist,5,4,Lead,Python,English,1000+,Product,230000
28,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,German,1000+,Product,45000
